instance_sn,cluster,workload_type
instance_7281,0,Preprocessing
instance_7284,1,Training
instance_7286,2,Tuning
instance_7288,3,Inference
instance_7289,0,Preprocessing
instance_7290,0,Preprocessing
instance_7291,0,Preprocessing
instance_7293,1,Training
instance_7294,1,Training
instance_7295,-1,Noise
instance_7296,4,Deployment
instance_7297,1,Training
instance_7299,5,Unknown
instance_7300,6,Unknown
instance_7301,6,Unknown
instance_7302,6,Unknown
instance_7303,3,Inference
instance_7304,-1,Noise
instance_7305,-1,Noise
instance_7306,3,Inference
instance_7308,7,Unknown
instance_7309,0,Preprocessing
instance_7310,0,Preprocessing
instance_7311,0,Preprocessing
instance_7312,0,Preprocessing
instance_7314,8,Unknown
instance_7315,4,Deployment
instance_7316,0,Preprocessing
instance_7317,0,Preprocessing
instance_7318,8,Unknown
instance_7319,7,Unknown
instance_7320,7,Unknown
instance_7321,9,Unknown
instance_7323,0,Preprocessing
instance_7324,7,Unknown
instance_7325,0,Preprocessing
instance_7328,-1,Noise
instance_7329,7,Unknown
instance_7330,-1,Noise
instance_7331,2,Tuning
instance_7332,4,Deployment
instance_7333,1,Training
instance_7334,0,Preprocessing
instance_7335,0,Preprocessing
instance_7336,0,Preprocessing
instance_7337,1,Training
instance_7338,0,Preprocessing
instance_7339,10,Unknown
instance_7340,1,Training
instance_7342,-1,Noise
instance_7343,0,Preprocessing
instance_7345,-1,Noise
instance_7346,1,Training
instance_7348,3,Inference
instance_7350,3,Inference
instance_7351,0,Preprocessing
instance_7352,0,Preprocessing
instance_7353,4,Deployment
instance_7354,0,Preprocessing
instance_7355,1,Training
instance_7357,8,Unknown
instance_7358,4,Deployment
instance_7359,11,Unknown
instance_7361,1,Training
instance_7362,8,Unknown
instance_7364,9,Unknown
instance_7365,1,Training
instance_7367,12,Unknown
instance_7368,12,Unknown
instance_7369,11,Unknown
instance_7370,13,Unknown
instance_7371,9,Unknown
instance_7373,1,Training
instance_7374,5,Unknown
instance_7376,3,Inference
instance_7377,3,Inference
instance_7378,-1,Noise
instance_7379,7,Unknown
instance_7380,7,Unknown
instance_7381,14,Unknown
instance_7382,1,Training
instance_7383,-1,Noise
instance_7384,0,Preprocessing
instance_7385,15,Unknown
instance_7386,8,Unknown
instance_7387,8,Unknown
instance_7388,4,Deployment
instance_7389,0,Preprocessing
instance_7390,4,Deployment
instance_7391,0,Preprocessing
instance_7392,12,Unknown
instance_7393,12,Unknown
instance_7394,5,Unknown
instance_7395,0,Preprocessing
instance_7396,9,Unknown
instance_7397,5,Unknown
instance_7398,7,Unknown
instance_7399,7,Unknown
instance_7400,5,Unknown
instance_7402,8,Unknown
instance_7403,0,Preprocessing
instance_7404,8,Unknown
instance_7405,0,Preprocessing
instance_7406,16,Unknown
instance_7407,1,Training
instance_7409,4,Deployment
instance_7410,-1,Noise
instance_7412,8,Unknown
instance_7413,8,Unknown
instance_7414,8,Unknown
instance_7415,1,Training
instance_7416,8,Unknown
instance_7417,-1,Noise
instance_7419,1,Training
instance_7420,15,Unknown
instance_7421,-1,Noise
instance_7425,17,Unknown
instance_7427,1,Training
instance_7428,-1,Noise
instance_7429,1,Training
instance_7430,5,Unknown
instance_7431,1,Training
instance_7432,3,Inference
instance_7433,1,Training
instance_7434,0,Preprocessing
instance_7435,9,Unknown
instance_7436,5,Unknown
instance_7437,8,Unknown
instance_7438,4,Deployment
instance_7439,7,Unknown
instance_7440,10,Unknown
instance_7441,5,Unknown
instance_7442,4,Deployment
instance_7443,6,Unknown
instance_7444,0,Preprocessing
instance_7445,0,Preprocessing
instance_7446,1,Training
instance_7448,0,Preprocessing
instance_7449,3,Inference
instance_7450,-1,Noise
instance_7451,0,Preprocessing
instance_7452,-1,Noise
instance_7453,-1,Noise
instance_7454,-1,Noise
instance_7455,-1,Noise
instance_7460,9,Unknown
instance_7461,9,Unknown
instance_7462,3,Inference
instance_7463,1,Training
instance_7464,1,Training
instance_7465,9,Unknown
instance_7466,5,Unknown
instance_7467,1,Training
instance_7468,-1,Noise
instance_7469,8,Unknown
instance_7472,4,Deployment
instance_7473,8,Unknown
instance_7474,9,Unknown
instance_7475,8,Unknown
instance_7476,8,Unknown
instance_7477,7,Unknown
instance_7479,0,Preprocessing
instance_7481,8,Unknown
instance_7482,-1,Noise
instance_7484,8,Unknown
instance_7485,8,Unknown
instance_7486,8,Unknown
instance_7488,8,Unknown
instance_7489,8,Unknown
instance_7490,8,Unknown
instance_7492,8,Unknown
instance_7493,8,Unknown
instance_7494,7,Unknown
instance_7495,7,Unknown
instance_7496,7,Unknown
instance_7497,7,Unknown
instance_7498,0,Preprocessing
instance_7499,8,Unknown
instance_7500,8,Unknown
instance_7501,8,Unknown
instance_7502,6,Unknown
instance_7504,7,Unknown
instance_7507,-1,Noise
instance_7508,6,Unknown
instance_7515,8,Unknown
