instance_sn,predicted_workload_type
instance_7281,Preprocessing
instance_7284,Training
instance_7286,Tuning
instance_7288,Inference
instance_7289,Preprocessing
instance_7290,Preprocessing
instance_7291,Preprocessing
instance_7293,Training
instance_7294,Training
instance_7295,Noise
instance_7296,Deployment
instance_7297,Training
instance_7299,Unknown
instance_7300,Unknown
instance_7301,Unknown
instance_7302,Unknown
instance_7303,Inference
instance_7304,Noise
instance_7305,Noise
instance_7306,Inference
instance_7308,Unknown
instance_7309,Preprocessing
instance_7310,Preprocessing
instance_7311,Preprocessing
instance_7312,Preprocessing
instance_7314,Unknown
instance_7315,Deployment
instance_7316,Preprocessing
instance_7317,Preprocessing
instance_7318,Unknown
instance_7319,Unknown
instance_7320,Unknown
instance_7321,Unknown
instance_7323,Preprocessing
instance_7324,Unknown
instance_7325,Preprocessing
instance_7328,Noise
instance_7329,Unknown
instance_7330,Noise
instance_7331,Tuning
instance_7332,Deployment
instance_7333,Training
instance_7334,Preprocessing
instance_7335,Preprocessing
instance_7336,Preprocessing
instance_7337,Training
instance_7338,Preprocessing
instance_7339,Unknown
instance_7340,Training
instance_7342,Noise
instance_7343,Preprocessing
instance_7345,Noise
instance_7346,Training
instance_7348,Inference
instance_7350,Inference
instance_7351,Preprocessing
instance_7352,Preprocessing
instance_7353,Deployment
instance_7354,Preprocessing
instance_7355,Training
instance_7357,Unknown
instance_7358,Deployment
instance_7359,Unknown
instance_7361,Training
instance_7362,Unknown
instance_7364,Unknown
instance_7365,Training
instance_7367,Unknown
instance_7368,Unknown
instance_7369,Unknown
instance_7370,Unknown
instance_7371,Unknown
instance_7373,Training
instance_7374,Unknown
instance_7376,Inference
instance_7377,Inference
instance_7378,Noise
instance_7379,Unknown
instance_7380,Unknown
instance_7381,Unknown
instance_7382,Training
instance_7383,Noise
instance_7384,Preprocessing
instance_7385,Unknown
instance_7386,Unknown
instance_7387,Unknown
instance_7388,Deployment
instance_7389,Preprocessing
instance_7390,Deployment
instance_7391,Preprocessing
instance_7392,Unknown
instance_7393,Unknown
instance_7394,Unknown
instance_7395,Preprocessing
instance_7396,Unknown
instance_7397,Unknown
instance_7398,Unknown
instance_7399,Unknown
instance_7400,Unknown
instance_7402,Unknown
instance_7403,Preprocessing
instance_7404,Unknown
instance_7405,Preprocessing
instance_7406,Unknown
instance_7407,Training
instance_7409,Deployment
instance_7410,Noise
instance_7412,Unknown
instance_7413,Unknown
instance_7414,Unknown
instance_7415,Training
instance_7416,Unknown
instance_7417,Noise
instance_7419,Training
instance_7420,Unknown
instance_7421,Noise
instance_7425,Unknown
instance_7427,Training
instance_7428,Noise
instance_7429,Training
instance_7430,Unknown
instance_7431,Training
instance_7432,Inference
instance_7433,Training
instance_7434,Preprocessing
instance_7435,Unknown
instance_7436,Unknown
instance_7437,Unknown
instance_7438,Deployment
instance_7439,Unknown
instance_7440,Unknown
instance_7441,Unknown
instance_7442,Deployment
instance_7443,Unknown
instance_7444,Preprocessing
instance_7445,Preprocessing
instance_7446,Training
instance_7448,Preprocessing
instance_7449,Inference
instance_7450,Noise
instance_7451,Preprocessing
instance_7452,Noise
instance_7453,Noise
instance_7454,Preprocessing
instance_7455,Noise
instance_7460,Unknown
instance_7461,Unknown
instance_7462,Inference
instance_7463,Training
instance_7464,Training
instance_7465,Unknown
instance_7466,Unknown
instance_7467,Training
instance_7468,Noise
instance_7469,Unknown
instance_7472,Deployment
instance_7473,Unknown
instance_7474,Unknown
instance_7475,Unknown
instance_7476,Unknown
instance_7477,Unknown
instance_7479,Preprocessing
instance_7481,Unknown
instance_7482,Noise
instance_7484,Unknown
instance_7485,Unknown
instance_7486,Unknown
instance_7488,Unknown
instance_7489,Unknown
instance_7490,Unknown
instance_7492,Unknown
instance_7493,Unknown
instance_7494,Unknown
instance_7495,Unknown
instance_7496,Unknown
instance_7497,Unknown
instance_7498,Preprocessing
instance_7499,Unknown
instance_7500,Unknown
instance_7501,Unknown
instance_7502,Unknown
instance_7504,Unknown
instance_7507,Noise
instance_7508,Unknown
instance_7515,Unknown
instance_7516,Training
instance_7517,Unknown
instance_7518,Unknown
instance_7519,Unknown
instance_7520,Unknown
instance_7521,Unknown
instance_7523,Training
instance_7524,Unknown
instance_7525,Unknown
instance_7526,Unknown
instance_7527,Unknown
instance_7528,Noise
instance_7529,Unknown
instance_7530,Noise
instance_7531,Deployment
instance_7533,Unknown
instance_7534,Unknown
instance_7535,Unknown
instance_7536,Unknown
instance_7537,Unknown
instance_7538,Unknown
instance_7539,Deployment
instance_7540,Unknown
instance_7541,Unknown
instance_7543,Tuning
instance_7544,Unknown
instance_7545,Unknown
instance_7547,Unknown
instance_7548,Unknown
instance_7550,Unknown
instance_7551,Unknown
instance_7552,Unknown
instance_7553,Deployment
instance_7554,Deployment
instance_7555,Unknown
instance_7556,Deployment
instance_7557,Unknown
instance_7558,Unknown
instance_7559,Unknown
instance_7561,Preprocessing
instance_7562,Preprocessing
instance_7563,Inference
instance_7564,Unknown
instance_7565,Unknown
instance_7566,Preprocessing
instance_7567,Unknown
instance_7569,Unknown
instance_7570,Unknown
instance_7572,Deployment
instance_7574,Preprocessing
instance_7575,Preprocessing
instance_7576,Unknown
instance_7577,Unknown
instance_7578,Unknown
instance_7579,Unknown
instance_7582,Training
instance_7583,Unknown
instance_7585,Noise
instance_7586,Training
instance_7587,Training
instance_7588,Training
instance_7589,Unknown
instance_7590,Unknown
instance_7591,Deployment
instance_7592,Inference
instance_7593,Unknown
instance_7594,Unknown
instance_7595,Unknown
instance_7596,Preprocessing
instance_7597,Noise
instance_7598,Unknown
instance_7599,Preprocessing
instance_7600,Tuning
instance_7604,Unknown
instance_7605,Training
instance_7606,Unknown
instance_7607,Unknown
instance_7608,Inference
instance_7609,Unknown
instance_7610,Unknown
instance_7611,Unknown
instance_7613,Unknown
instance_7614,Unknown
instance_7615,Unknown
instance_7616,Unknown
instance_7617,Unknown
instance_7618,Unknown
instance_7619,Unknown
instance_7620,Unknown
instance_7621,Unknown
instance_7624,Training
instance_7625,Deployment
instance_7626,Unknown
instance_7627,Unknown
instance_7628,Unknown
instance_7629,Unknown
instance_7630,Unknown
instance_7631,Unknown
instance_7632,Unknown
instance_7633,Unknown
instance_7635,Unknown
instance_7637,Unknown
instance_7638,Unknown
instance_7639,Unknown
instance_7641,Unknown
instance_7642,Noise
instance_7643,Deployment
instance_7644,Unknown
instance_7645,Unknown
instance_7646,Unknown
instance_7647,Unknown
instance_7648,Unknown
instance_7650,Unknown
instance_7652,Unknown
instance_7653,Unknown
instance_7654,Unknown
instance_7656,Deployment
instance_7658,Deployment
instance_7659,Unknown
instance_7660,Unknown
instance_7661,Unknown
instance_7662,Unknown
instance_7663,Unknown
instance_7664,Training
instance_7665,Unknown
instance_7666,Unknown
instance_7667,Unknown
instance_7668,Unknown
instance_7669,Unknown
instance_7670,Unknown
instance_7671,Unknown
instance_7672,Unknown
instance_7673,Unknown
instance_7674,Unknown
instance_7675,Unknown
instance_7676,Unknown
instance_7677,Tuning
instance_7678,Unknown
instance_7679,Unknown
instance_7680,Unknown
instance_7681,Unknown
instance_7682,Preprocessing
instance_7683,Unknown
instance_7684,Deployment
instance_7685,Preprocessing
instance_7686,Noise
instance_7687,Preprocessing
instance_7688,Unknown
instance_7689,Unknown
instance_7690,Unknown
instance_7691,Unknown
instance_7692,Unknown
instance_7693,Unknown
instance_7694,Unknown
instance_7695,Unknown
instance_7696,Unknown
instance_7697,Training
instance_7698,Training
instance_7699,Preprocessing
instance_7700,Preprocessing
instance_7701,Unknown
instance_7702,Inference
instance_7703,Preprocessing
instance_7704,Preprocessing
instance_7706,Unknown
instance_7707,Unknown
instance_7708,Training
instance_7709,Unknown
instance_7710,Unknown
instance_7711,Unknown
instance_7712,Unknown
instance_7713,Unknown
instance_7714,Training
instance_7715,Training
instance_7716,Unknown
instance_7717,Unknown
instance_7718,Unknown
instance_7719,Unknown
instance_7720,Unknown
instance_7721,Unknown
instance_7722,Unknown
instance_7723,Unknown
instance_7724,Preprocessing
instance_7725,Unknown
instance_7726,Unknown
instance_7727,Training
instance_7728,Unknown
instance_7729,Unknown
instance_7730,Preprocessing
instance_7731,Noise
instance_7733,Unknown
instance_7734,Noise
instance_7735,Unknown
instance_7736,Unknown
instance_7737,Training
instance_7738,Training
instance_7739,Preprocessing
instance_7740,Preprocessing
instance_7741,Unknown
instance_7743,Training
instance_7745,Unknown
instance_7746,Noise
instance_7747,Preprocessing
instance_7748,Unknown
instance_7750,Unknown
instance_7751,Noise
instance_7752,Unknown
instance_7753,Training
instance_7754,Unknown
instance_7755,Unknown
instance_7756,Noise
instance_7757,Noise
instance_7759,Unknown
instance_7760,Unknown
instance_7761,Training
instance_7762,Unknown
instance_7763,Noise
instance_7769,Unknown
instance_7770,Unknown
instance_7771,Unknown
instance_7772,Unknown
instance_7773,Unknown
instance_7776,Training
instance_7777,Unknown
instance_7778,Unknown
instance_7779,Unknown
instance_7780,Unknown
instance_7781,Unknown
instance_7783,Unknown
instance_7784,Inference
instance_7785,Unknown
instance_7786,Unknown
instance_7788,Noise
instance_7789,Unknown
instance_7790,Unknown
instance_7791,Unknown
instance_7792,Training
instance_7793,Unknown
instance_7794,Unknown
instance_7795,Training
instance_7796,Unknown
instance_7797,Unknown
instance_7798,Unknown
instance_7799,Noise
instance_7800,Unknown
instance_7801,Unknown
instance_7802,Unknown
instance_7803,Unknown
instance_7804,Unknown
instance_7805,Unknown
instance_7806,Unknown
instance_7807,Unknown
instance_7808,Unknown
instance_7809,Unknown
instance_7810,Unknown
instance_7811,Unknown
instance_7812,Unknown
instance_7813,Noise
instance_7814,Unknown
instance_7815,Unknown
instance_7817,Unknown
instance_7818,Unknown
instance_7819,Unknown
instance_7820,Unknown
instance_7821,Unknown
instance_7822,Unknown
instance_7823,Training
instance_7824,Training
instance_7825,Training
instance_7827,Unknown
instance_7828,Unknown
instance_7829,Unknown
instance_7830,Unknown
instance_7831,Unknown
instance_7832,Unknown
instance_7834,Unknown
instance_7835,Unknown
instance_7836,Unknown
instance_7837,Unknown
instance_7838,Noise
instance_7839,Unknown
instance_7840,Deployment
instance_7841,Unknown
instance_7842,Deployment
instance_7843,Unknown
instance_7844,Unknown
instance_7845,Unknown
instance_7846,Unknown
instance_7847,Unknown
instance_7848,Unknown
instance_7849,Unknown
instance_7850,Unknown
instance_7852,Unknown
instance_7853,Unknown
instance_7854,Noise
instance_7855,Unknown
instance_7856,Unknown
instance_7857,Unknown
instance_7859,Deployment
instance_7860,Unknown
instance_7861,Unknown
instance_7862,Unknown
instance_7863,Unknown
instance_7864,Unknown
instance_7865,Unknown
instance_7866,Unknown
instance_7867,Unknown
instance_7868,Unknown
instance_7871,Unknown
instance_7872,Unknown
instance_7873,Preprocessing
instance_7874,Training
instance_7875,Unknown
instance_7876,Unknown
instance_7877,Unknown
instance_7878,Unknown
instance_7879,Unknown
instance_7880,Unknown
instance_7881,Unknown
instance_7882,Unknown
instance_7883,Unknown
instance_7884,Noise
instance_7885,Unknown
instance_7886,Unknown
instance_7887,Deployment
instance_7889,Noise
instance_7890,Unknown
instance_7891,Deployment
instance_7893,Preprocessing
instance_7894,Training
instance_7895,Unknown
instance_7896,Unknown
instance_7897,Unknown
instance_7898,Unknown
instance_7899,Unknown
instance_7900,Unknown
instance_7901,Unknown
instance_7902,Unknown
instance_7903,Unknown
instance_7904,Unknown
instance_7905,Unknown
instance_7907,Unknown
instance_7908,Unknown
instance_7909,Preprocessing
instance_7910,Training
instance_7911,Unknown
instance_7912,Unknown
instance_7913,Unknown
instance_7914,Unknown
instance_7915,Unknown
instance_7916,Unknown
instance_7917,Unknown
instance_7918,Unknown
instance_7921,Unknown
instance_7922,Unknown
instance_7923,Unknown
instance_7924,Unknown
instance_7925,Unknown
instance_7928,Unknown
instance_7930,Unknown
instance_7932,Unknown
instance_7933,Unknown
instance_7934,Deployment
instance_7935,Unknown
instance_7936,Unknown
instance_7937,Unknown
instance_7938,Deployment
instance_7939,Unknown
instance_7940,Unknown
instance_7941,Unknown
instance_7942,Unknown
instance_7943,Unknown
instance_7944,Unknown
instance_7945,Unknown
instance_7946,Unknown
instance_7947,Unknown
instance_7948,Unknown
instance_7949,Unknown
instance_7950,Unknown
instance_7951,Unknown
instance_7953,Unknown
instance_7954,Unknown
instance_7955,Noise
instance_7956,Unknown
instance_7957,Noise
instance_7958,Unknown
instance_7959,Noise
instance_7960,Unknown
instance_7961,Unknown
instance_7962,Unknown
instance_7963,Unknown
instance_7965,Unknown
instance_7966,Unknown
instance_7968,Training
instance_7969,Unknown
instance_7970,Unknown
instance_7971,Unknown
instance_7972,Unknown
instance_7973,Unknown
instance_7974,Unknown
instance_7975,Unknown
instance_7977,Unknown
instance_7979,Unknown
instance_7980,Unknown
instance_7981,Unknown
instance_7982,Unknown
instance_7983,Deployment
instance_7985,Unknown
instance_7986,Training
instance_7987,Unknown
instance_7988,Unknown
instance_7992,Unknown
